Codigo_ALCALDIA,Alcaldia,Latitud,Longitud,Año,Casos_totales_SARS_Positivos
1,Alvaro Obregon,19.36,-99.21,2020,6668
2,Azapotzalco,19.48,-99.18,2020,4764
3,Benito Juarez,19.39,-99.15,2020,2851
4,Coyoacan,19.33,-99.15,2020,5889
5,Cuajimalpa,19.36,-99.27,2020,2218
6,Cuauhtemoc,19.43,-99.13,2020,4648
7,Gustavo A Madero,19.13,-99.11,2020,10231
8,Iztacalco,19.38,-99.09,2020,3930
9,Iztapalapa,19.34,-99.05,2020,12952
10,Magdalena Contreras,19.26,-99.25,2020,3169
11,Miguel Hidalgo,19.43,-99.19,2020,3391
12,Milpa Alta,19.19,-99.01,2020,2541
13,Tlahuac,19.29,-99.01,2020,4418
14,Tlalpan,19.20,-99.19,2020,7136
15,Venustiano Carranza,19.43,-99.02,2020,4455
16,Xochimilco,19.25,-99.08,2020,5498
