Lugar,Longitud,latitud,x,y
Anfogasta,-70.400390999999999,-23.674713000000001,-7.0400390000000002,-2.3674710000000001
Bogota,-74.080810999999997,4.5928519999999997,-7.4080810000000001,4.5928509999999996
Buenos Aires,-58.513184000000003,-34.633208000000003,-5.851318,-3.46332
Carlos Gomes,-51.182009000000001,-30.025839000000001,-5.6976259999999996,-3.506996
Guatemala,-90.560029,15.609342,-9.0477900000000009,1.556219
La Paz,-68.126221000000001,-16.509833,-6.8126220000000002,-1.6509830000000001
Lima,-76.992187999999999,-12.039320999999999,-7.6992180000000001,-1.203932
Moderna,-99.134754000000001,19.395223999999999,-1.1035600000000001,2.2012939999999999
Montevideu,-56.192321999999997,-34.872411999999997,-5.6222529999999997,-3.487241
Panama,-79.519042999999996,9.0153020000000001,-7.9519039999999999,9.0153009999999991
Santiago,-70.650329999999997,-33.454360000000001,-7.0650329999999997,-3.3454359999999999
Sta Maria,-53.822020999999999,-29.640319999999999,-5.3822020000000004,-2.964032
